2.363		704.644		1.073
3.436		702.066		0.366
3.802		701.917		0.733
4.535		700.011		0.788
5.329		661.054		1.393
6.728		701.081		1.364
8.104		592.913		1.115
9.532		529.256		0.627
10.211		702.908		1.358
11.575		659.964		0.308
11.889		592.506		0.348
12.243		661.553		1.451
13.700		697.575		2.142
17.276		661.618		0.631
17.907		661.545		0.371
18.279		661.848		0.377
18.655		661.348		1.384
20.039		659.677		0.848
26.668		596.967		0.621
27.324		791.568		0.298
27.622		795.458		0.295
27.957		530.409		0.540
28.555		703.216		1.289
29.849		659.835		0.308
30.163		597.615		0.325
30.488		563.350		0.308
30.807		596.439		0.284
31.097		661.902		0.331
31.446		561.900		0.360
31.817		593.478		3.187
35.439		562.568		0.290
35.735		498.177		0.459
36.200		561.942		2.084
