4.278		316.307		0.151
4.650		318.123		0.168
5.004		398.149		0.192
5.393		399.766		0.180
5.782		476.494		0.157
6.159		474.768		0.180
6.531		396.932		0.720
7.332		420.359		0.238
7.703		420.407		0.221
8.063		351.975		0.168
8.429		352.807		0.192
8.818		297.686		0.168
9.189		296.692		0.180
9.555		233.721		0.470
10.339		314.206		0.145
10.699		314.664		0.197
11.053		396.995		0.209
11.407		399.281		0.209
11.761		473.766		0.186
12.109		470.838		0.215
12.446		394.193		0.650
13.230		725.125		0.084
13.314		633.835		0.142
13.601		631.467		0.261
13.967		440.753		0.238
14.333		441.186		0.261
14.721		466.661		0.656
15.470		230.756		0.319
16.292		390.730		0.221
17.897		397.223		0.264
19.473		257.175		0.215
20.907		355.171		0.273
22.451		395.335		0.264
23.890		398.486		0.284
25.443		397.363		0.261
26.175		353.795		0.255
26.941		299.047		0.226
27.701		297.974		0.592
28.566		356.595		0.255
28.909		233.631		0.238
29.338		312.721		0.296
29.663		234.386		0.232
30.081		299.058		0.145
30.407		297.827		0.197
30.778		293.696		0.154
30.932		314.101		0.136
31.074		350.005		0.168
31.248		394.192		0.194
31.443		417.630		0.403
31.846		395.965		0.348
32.200		352.361		0.366
32.572		314.635		0.261
32.955		296.603		0.168
33.338		296.238		0.180
33.704		296.906		0.209
34.476		317.018		0.163
34.871		315.215		0.168
35.213		397.509		0.238
35.602		399.324		0.203
36.014		474.208		0.192
36.391		472.683		0.221
36.798		632.122		0.743
37.593		525.844		0.221
37.947		419.918		0.313
38.330		386.912		0.163
38.499		348.549		0.163
38.667		315.606		0.180
38.853		351.077		0.180
39.039		393.359		0.180
39.410		397.322		0.215
39.787		396.870		0.238
40.606		354.484		0.337
41.372		315.156		0.342
41.761		236.526		0.221
42.182		301.504		0.102
42.522		297.816		0.145
42.905		295.997		0.151
43.056		316.264		0.180
43.241		352.847		0.151
43.398		396.280		0.209
43.607		419.749		0.374
43.981		396.678		0.340
44.391		350.690		0.325
44.722		314.297		0.267
45.122		296.809		0.163
45.500		298.559		0.163
45.871		297.115		0.192
46.637		317.432		0.174
47.020		315.907		0.151
47.357		397.571		0.186
47.729		399.362		0.197
48.106		475.044		0.215
48.472		474.702		0.226
48.977		632.933		0.720
49.726		524.605		0.244
50.062		417.921		0.296
50.445		390.624		0.186
50.637		346.751		0.154
50.791		315.335		0.163
50.953		349.030		0.183
51.142		392.671		0.203
51.525		397.150		0.238
51.995		395.388		0.290
