3.483		702.706		0.151
3.884		700.543		0.180
5.021		471.031		0.197
5.404		785.528		0.197
6.490		524.760		0.215
6.891		526.600		0.203
7.250		595.385		0.192
7.651		658.323		0.157
8.022		699.149		0.610
9.421		699.074		0.203
9.857		700.084		0.139
10.890		498.606		0.203
11.262		701.639		0.180
12.324		527.106		0.163
12.678		527.592		0.186
13.055		393.463		0.168
13.398		392.046		0.163
13.729		524.415		0.163
14.083		522.393		0.157
14.454		528.879		0.372
15.279		699.870		0.157
15.656		699.682		0.134
16.759		470.763		0.145
17.107		788.143		0.197
18.187		527.774		0.163
18.576		526.182		0.145
18.901		593.837		0.180
19.273		655.964		0.116
19.644		701.716		0.668
21.107		698.679		0.163
21.456		699.331		0.171
22.535		499.206		0.197
22.895		700.221		0.197
23.963		527.990		0.163
24.311		527.450		0.174
24.694		395.499		0.174
25.066		396.397		0.168
25.426		525.199		0.157
25.757		528.329		0.168
26.186		527.123		0.372
26.929		524.431		0.168
27.330		524.433		0.151
27.701		657.112		0.134
28.038		657.697		0.151
28.433		528.380		0.511
29.913		530.309		0.186
30.290		526.643		0.163
30.465		595.054		0.180
30.685		663.189		0.174
31.039		665.536		0.116
31.219		525.749		0.139
31.440		945.366		0.697
32.938		701.764		0.157
33.309		701.252		0.174
34.377		471.388		0.180
34.743		790.238		0.197
35.434		494.490		0.215
35.805		529.160		0.186
36.177		526.336		0.168
36.525		527.835		0.168
36.902		529.708		0.157
37.285		349.189		0.168
37.651		348.838		0.168
38.052		349.970		0.395
38.789		521.360		0.145
39.172		525.690		0.186
39.547		327.383		0.113
39.921		657.755		0.145
40.304		527.315		0.580
41.726		529.567		0.203
42.098		526.684		0.151
42.255		594.300		0.180
42.440		661.081		0.192
42.829		665.034		0.116
42.963		526.412		0.116
43.166		942.510		0.604
44.542		698.482		0.168
44.954		698.702		0.186
46.045		470.639		0.186
46.411		789.635		0.209
47.113		494.979		0.261
47.473		524.791		0.180
47.839		525.414		0.180
48.199		525.107		0.174
48.565		524.148		0.163
48.924		351.238		0.168
49.279		350.108		0.157
49.638		351.477		0.290
50.434		467.492		0.168
50.759		591.046		0.197
51.148		528.612		0.197
51.531		623.870		0.203
51.914		592.144		0.203
52.320		470.937		0.215
52.669		440.726		0.186
53.040		524.614		0.232
53.435		471.961		0.197
53.818		592.410		0.192
54.178		785.421		0.186
54.584		623.828		0.174
54.956		885.135		0.139
55.095		950.964		0.180
55.274		896.355		0.164
55.439		955.711		0.215
55.654		887.252		0.422
56.413		466.385		0.186
56.790		591.945		0.192
57.156		524.524		0.186
57.527		619.871		0.203
57.916		591.937		0.180
58.276		471.119		0.238
58.665		443.648		0.174
59.048		526.937		0.221
59.431		471.978		0.203
59.809		595.080		0.209
60.151		790.521		0.203
60.505		624.089		0.209
60.912		697.932		0.180
61.289		348.636		0.209
61.661		470.513		0.360
62.467		469.064		0.261
62.856		593.335		0.250
63.274		527.565		0.250
63.652		622.923		0.261
64.041		593.905		0.221
64.430		470.168		0.308
64.819		442.280		0.209
65.196		525.355		0.238
65.585		470.273		0.215
65.968		593.416		0.244
66.357		787.537		0.174
66.699		624.745		0.157
67.094		881.900		0.155
67.249		948.347		0.198
67.447		891.523		0.182
67.629		953.197		0.184
67.812		888.963		0.466
68.603		468.672		0.157
68.998		592.747		0.186
69.358		528.832		0.192
69.741		625.552		0.186
70.101		593.484		0.197
70.496		470.203		0.215
70.891		441.843		0.151
71.233		527.177		0.180
71.639		470.623		0.192
71.970		594.175		0.215
72.348		790.289		0.197
72.690		624.364		0.192
73.044		697.145		0.186
73.456		350.779		0.197
73.781		470.315		0.163
74.205		470.214		0.313
74.553		350.943		0.145
74.733		523.966		0.174
74.942		627.218		0.139
75.099		524.989		0.157
75.297		351.730		0.134
75.453		470.488		0.163
75.651		593.367		0.145
75.842		469.622		0.151
76.022		350.506		0.128
76.196		525.490		0.174
76.399		624.904		0.139
76.562		523.591		0.174
76.788		352.207		0.122
76.939		472.625		0.151
77.131		593.284		0.134
77.311		467.222		0.134
77.520		352.640		0.110
77.688		524.691		0.174
77.909		625.192		0.110
78.065		523.201		0.128
78.240		350.511		0.128
78.391		471.933		0.145
78.571		591.544		0.139
78.739		468.813		0.145
78.942		351.861		0.128
79.110		526.940		0.180
79.331		623.427		0.110
79.459		521.560		0.145
79.656		350.681		0.162
79.818		699.464		0.166
79.985		622.196		0.153
80.144		526.965		0.209
80.358		473.280		0.145
80.776		592.542		0.174
81.119		525.563		0.163
81.519		624.865		0.151
81.874		593.278		0.157
82.274		470.327		0.203
82.675		443.544		0.151
83.064		530.235		0.180
83.458		471.776		0.163
83.801		594.805		0.163
84.172		791.571		0.168
84.550		627.863		0.168
84.939		703.905		0.139
85.351		351.109		0.151
85.705		474.174		0.267
86.500		349.687		0.104
86.639		529.049		0.174
86.866		625.879		0.116
86.999		526.688		0.163
87.197		352.080		0.134
87.348		471.733		0.163
87.539		593.947		0.139
87.713		469.498		0.168
87.922		350.971		0.122
88.079		526.002		0.186
88.300		628.054		0.139
88.468		524.743		0.157
88.654		350.567		0.145
88.822		471.611		0.145
89.020		593.661		0.134
89.199		516.427		0.145
89.379		351.538		0.145
89.559		527.399		0.128
89.757		627.535		0.139
89.913		523.368		0.174
90.143		350.617		0.100
90.268		471.645		0.128
90.436		593.291		0.128
90.651		468.193		0.104
90.840		351.784		0.094
90.970		526.468		0.157
91.162		623.580		0.134
91.336		524.689		0.192
91.533		471.199		0.337
93.356		789.048		0.197
93.733		663.686		0.360
94.824		660.160		0.151
95.202		530.487		0.551
98.155		699.694		0.120
98.524		702.482		0.153
99.598		473.707		0.174
99.960		789.361		0.198
101.071		529.343		0.163
101.454		529.242		0.186
101.796		595.566		0.186
102.191		659.244		0.134
102.592		701.776		0.656
